,Country,Year,Total Production,Exportable Production
119,Malawi,1992/93,137.161,135.161
120,Papua New Guinea,1992/93,900.1110000000001,897.1110000000001
121,Paraguay,1992/93,54.291000000000004,39.291
122,Peru,1992/93,1761.953,1561.953
123,Rwanda,1992/93,638.875,637.875
124,Timor-Leste,1992/93,,0.0
125,Zimbabwe,1992/93,77.824,69.824
126,"Congo, Rep. of",1992/93,3.1710000000000003,504.0
127,Cuba,1992/93,284.237,89.23700000000001
128,Dominican Republic,1992/93,637.815,317.815
129,Haiti,1992/93,499.855,169.855
130,Philippines,1992/93,919.8510000000001,169.851
131,Tanzania,1992/93,786.434,767.2339999999999
132,Zambia,1992/93,29.307,27.875
133,Benin,1992/93,1.805,1.805
134,Cameroon,1992/93,260.376,177.043
135,Central African Republic,1992/93,133.845,105.845
136,Colombia,1992/93,15189.131000000001,13889.131000000001
137,"Congo, Dem. Rep. of",1992/93,1180.157,980.1569999999999
138,Costa Rica,1992/93,2997.974,2622.974
139,Côte d'Ivoire,1992/93,2245.536,2195.536
140,El Salvador,1992/93,3001.301,2771.301
141,Equatorial Guinea,1992/93,1.686,1.686
142,Ethiopia,1992/93,1825.171,494.171
143,Gabon,1992/93,3.063,2.263
144,Ghana,1992/93,36.602,19.602
145,Guatemala,1992/93,4318.483,4018.4829999999997
146,Guinea,1992/93,76.34100000000001,13.841
147,Guyana,1992/93,,0.0
148,Honduras,1992/93,1918.2089999999998,1678.2089999999998
149,India,1992/93,2823.4970000000003,1906.497
150,Jamaica,1992/93,25.583000000000002,19.583
151,Kenya,1992/93,1315.5479999999998,1265.548
152,"Lao, People's Dem. Rep. of",1992/93,,0.0
153,Liberia,1992/93,3.0,0.0
154,Mexico,1992/93,3400.8109999999997,2100.811
155,Nepal,1992/93,,0.0
156,Nicaragua,1992/93,547.294,481.694
157,Nigeria,1992/93,48.882,13.132
158,Panama,1992/93,196.97799999999998,129.97799999999998
159,Sierra Leone,1992/93,39.084,30.084
160,Sri Lanka,1992/93,53.181000000000004,25.180999999999997
161,Thailand,1992/93,1254.945,1021.945
162,Togo,1992/93,85.648,84.648
163,Trinidad & Tobago,1992/93,14.328,4.328
164,Uganda,1992/93,2185.074,2110.074
165,Venezuela,1992/93,1215.298,365.32800000000003
166,Vietnam,1992/93,2340.447,2090.447
167,Yemen,1992/93,,0.0
168,Angola,1993/94,32.608000000000004,12.607999999999999
169,Bolivia,1993/94,57.323,22.323
170,Brazil,1993/94,28166.9786,19066.9786
171,Burundi,1993/94,393.35400000000004,391.444
172,Ecuador,1993/94,2069.007,1719.007
173,Indonesia,1993/94,6743.2880000000005,5384.2880000000005
174,Madagascar,1993/94,441.85900000000004,81.859
175,Malawi,1993/94,62.111000000000004,60.111000000000004
176,Papua New Guinea,1993/94,1019.4810000000001,1017.4810000000001
177,Paraguay,1993/94,70.046,50.04600000000001
178,Peru,1993/94,665.497,465.49699999999996
179,Rwanda,1993/94,443.625,442.625
180,Timor-Leste,1993/94,,0.0
181,Zimbabwe,1993/94,11.6,3.267
182,"Congo, Rep. of",1993/94,3.0,0.0
183,Cuba,1993/94,285.404,91.304
184,Dominican Republic,1993/94,603.944,283.944
185,Haiti,1993/94,450.69699999999995,120.697
186,Philippines,1993/94,874.855,104.855
187,Tanzania,1993/94,734.375,716.875
188,Zambia,1993/94,26.605999999999998,25.605999999999998
189,Benin,1993/94,0.05,0.05
190,Cameroon,1993/94,682.913,582.913
191,Central African Republic,1993/94,165.574,140.57399999999998
192,Colombia,1993/94,10297.601999999999,8897.601999999999
193,"Congo, Dem. Rep. of",1993/94,980.2610000000001,780.2610000000001
194,Costa Rica,1993/94,2358.7529999999997,1983.753
195,Côte d'Ivoire,1993/94,2293.407,2243.407
196,El Salvador,1993/94,2378.482,2148.482
197,Equatorial Guinea,1993/94,0.0,0.0
198,Ethiopia,1993/94,2967.0040000000004,1565.004
199,Gabon,1993/94,2.884,2.084
200,Ghana,1993/94,45.381,28.381
201,Guatemala,1993/94,3535.5009999999997,3225.5009999999997
202,Guinea,1993/94,63.806000000000004,30.805999999999997
203,Guyana,1993/94,,
204,Honduras,1993/94,1829.1789999999999,1599.1789999999999
205,India,1993/94,3533.1809999999996,2699.848
206,Jamaica,1993/94,34.287,24.686999999999998
207,Kenya,1993/94,1328.112,1278.112
208,"Lao, People's Dem. Rep. of",1993/94,,
209,Liberia,1993/94,5.0,0.0
210,Mexico,1993/94,5023.488,3953.488
211,Nepal,1993/94,,
212,Nicaragua,1993/94,706.13,597.23
213,Nigeria,1993/94,45.318999999999996,5.319
214,Panama,1993/94,142.066,75.066
215,Sierra Leone,1993/94,37.451,32.451
216,Sri Lanka,1993/94,53.79,33.79
217,Thailand,1993/94,1275.201,1025.201
218,Togo,1993/94,194.93900000000002,193.93900000000002
219,Trinidad & Tobago,1993/94,16.079,6.079
220,Uganda,1993/94,3141.7059999999997,3066.7059999999997
221,Venezuela,1993/94,1332.881,446.95099999999996
222,Vietnam,1993/94,3020.216,2753.216
223,Yemen,1993/94,,0.0
224,Angola,1994/95,76.80199999999999,51.802
225,Bolivia,1994/95,122.444,87.444
226,Brazil,1994/95,28192.047000000002,18892.047
227,Burundi,1994/95,664.143,662.143
228,Ecuador,1994/95,2375.766,2025.766
229,Indonesia,1994/95,5367.878000000001,3967.8779999999997
230,Madagascar,1994/95,641.372,474.70599999999996
231,Malawi,1994/95,84.11200000000001,82.11200000000001
232,Papua New Guinea,1994/95,1138.6589999999999,1136.6589999999999
233,Paraguay,1994/95,24.689,4.689
234,Peru,1994/95,1178.628,978.628
235,Rwanda,1994/95,22.449,21.449
236,Timor-Leste,1994/95,,0.0
237,Zimbabwe,1994/95,106.302,97.969
238,"Congo, Rep. of",1994/95,7.585,4.585
239,Cuba,1994/95,284.315,90.315
240,Dominican Republic,1994/95,729.67,399.67
241,Haiti,1994/95,450.246,120.24600000000001
242,Philippines,1994/95,876.7639999999999,86.764
243,Tanzania,1994/95,679.0239999999999,661.5239999999999
244,Zambia,1994/95,21.455,19.955
245,Benin,1994/95,0.0,0.0
246,Cameroon,1994/95,405.55699999999996,305.557
247,Central African Republic,1994/95,249.512,234.512
248,Colombia,1994/95,12862.47,11487.47
249,"Congo, Dem. Rep. of",1994/95,1297.805,1097.805
250,Costa Rica,1994/95,2481.942,2106.942
251,Côte d'Ivoire,1994/95,3006.4440000000004,2956.4440000000004
252,El Salvador,1994/95,2293.468,2063.468
253,Equatorial Guinea,1994/95,3.193,3.193
254,Ethiopia,1994/95,2762.73,1286.73
255,Gabon,1994/95,7.7010000000000005,6.7010000000000005
256,Ghana,1994/95,57.176,29.176
257,Guatemala,1994/95,3787.336,3477.336
258,Guinea,1994/95,198.357,148.357
259,Guyana,1994/95,,
260,Honduras,1994/95,2180.73,1927.73
261,India,1994/95,3001.897,2168.564
262,Jamaica,1994/95,44.598,29.598000000000003
263,Kenya,1994/95,1663.131,1613.131
264,"Lao, People's Dem. Rep. of",1994/95,,
265,Liberia,1994/95,5.0,0.0
266,Mexico,1994/95,4158.777,3138.777
267,Nepal,1994/95,,
268,Nicaragua,1994/95,682.9689999999999,593.369
269,Nigeria,1994/95,51.631,11.630999999999998
270,Panama,1994/95,248.313,171.646
271,Sierra Leone,1994/95,72.738,67.738
272,Sri Lanka,1994/95,42.448,22.448
273,Thailand,1994/95,1399.135,1116.135
274,Togo,1994/95,176.296,175.296
275,Trinidad & Tobago,1994/95,18.435,4.435
276,Uganda,1994/95,2392.7529999999997,2312.7529999999997
277,Venezuela,1994/95,988.9960000000001,65.596
278,Vietnam,1994/95,3631.6090000000004,3364.6090000000004
279,Yemen,1994/95,,0.0
280,Angola,1995/96,62.108999999999995,52.108999999999995
281,Bolivia,1995/96,151.985,111.985
282,Brazil,1995/96,18060.2022,7960.2022
283,Burundi,1995/96,433.98,431.98
284,Ecuador,1995/96,1888.233,1538.233
285,Indonesia,1995/96,4573.429,3130.429
286,Madagascar,1995/96,785.0089999999999,618.009
287,Malawi,1995/96,91.235,89.235
288,Papua New Guinea,1995/96,1002.363,1000.363
289,Paraguay,1995/96,22.843000000000004,2.843
290,Peru,1995/96,1870.9389999999999,1670.9389999999999
